date,unprofitable,vagabond,vagrant,abundance,accrue
2011-12-21,0.0,193.654473447,40.2836916259,43.9773818302,19.431894212
2011-12-22,0.0,52.1377428511,33.3382275525,45.0500008992,10.9304404943
2011-12-23,0.0,122.896108149,27.7818562937,43.9773818302,27.9333479298
2011-12-24,0.0,111.723734681,45.8400628847,25.7428576567,3.64348016475
2011-12-25,0.0,48.4136183618,37.5055059965,50.4130962443,0.0
2011-12-26,0.0,197.378597936,45.8400628847,15.0166669664,7.2869603295
2011-12-27,0.0,119.17198366,36.1164131818,17.1619051045,17.0029074355
2011-12-28,0.0,119.17198366,41.6727844406,43.9773818302,25.5043611533
2011-12-29,2.02200647249,167.585602022,12.5018353322,60.0666678656,2.4289867765
2011-12-30,5.05501618123,178.75797549,40.2836916259,40.7595246231,6.07246694125
2011-12-31,0.0,201.102722426,41.6727844406,28.9607148638,3.64348016475
2012-01-01,0.0,189.930348958,33.3382275525,41.8321436921,10.9304404943
2012-01-02,0.0,122.896108149,31.9491347378,37.541667416,6.07246694125
2012-01-03,4.04401294498,119.17198366,38.8945988112,48.2678581063,18.2174008238
2012-01-04,4.04401294498,85.6548632554,34.7273203672,67.5750013488,32.7913214828
2012-01-05,4.04401294498,126.620232638,26.392763479,32.1785720709,4.857973553
2012-01-06,0.0,115.44785917,30.5600419231,45.0500008992,10.9304404943
2012-01-07,0.0,171.309726511,29.1709491084,36.469048347,3.64348016475
2012-01-08,0.0,204.826846915,25.0036706644,35.3964292779,6.07246694125
2012-01-09,0.0,186.206224468,45.8400628847,35.3964292779,9.715947106
2012-01-10,0.0,137.792606107,40.2836916259,41.8321436921,9.715947106
2012-01-11,0.0,141.516730596,26.392763479,40.7595246231,2.4289867765
2012-01-12,0.0,130.344357128,29.1709491084,28.9607148638,7.2869603295
2012-01-13,0.0,215.999220383,36.1164131818,42.9047627611,7.2869603295
2012-01-14,0.0,189.930348958,31.9491347378,47.1952390372,0.0
