date,radical,ruin,segregation,shortage,steal
2012-08-25,41.5582749972,28.680614589,16.8039538884,53.3232339216,82.8105643084
2012-08-26,41.5582749972,36.502600386,22.4052718512,69.3202040981,95.3576195067
2012-08-27,51.3366926437,26.07328599,22.4052718512,69.3202040981,75.2823311895
2012-08-28,61.1151102901,41.717257584,22.4052718512,63.9878807059,72.7729201498
2012-08-29,66.0043191133,36.502600386,28.006589814,63.9878807059,70.2635091102
2012-08-30,61.1151102901,31.287943188,33.6079077768,58.6555573138,75.2823311895
2012-08-31,53.7812970553,39.109928985,39.2092257397,58.6555573138,65.2446870309
2012-09-01,34.2244617624,36.502600386,11.2026359256,53.3232339216,67.7540980705
2012-09-02,39.1136705856,36.502600386,11.2026359256,47.9909105295,87.8293863877
2012-09-03,46.4474838204,41.717257584,22.4052718512,42.6585871373,87.8293863877
2012-09-04,61.1151102901,31.287943188,33.6079077768,74.6525274903,65.2446870309
2012-09-05,58.6705058785,36.502600386,28.006589814,79.9848508824,67.7540980705
2012-09-06,68.4489235249,28.680614589,33.6079077768,69.3202040981,82.8105643084
2012-09-07,58.6705058785,33.895271787,28.006589814,69.3202040981,67.7540980705
2012-09-08,41.5582749972,39.109928985,5.60131796281,58.6555573138,72.7729201498
2012-09-09,58.6705058785,39.109928985,22.4052718512,53.3232339216,72.7729201498
2012-09-10,63.5597147017,31.287943188,33.6079077768,63.9878807059,65.2446870309
2012-09-11,70.8935279365,26.07328599,33.6079077768,69.3202040981,70.2635091102
2012-09-12,78.2273411713,33.895271787,39.2092257397,74.6525274903,60.2258649516
2012-09-13,66.0043191133,28.680614589,39.2092257397,58.6555573138,62.7352759912
2012-09-14,51.3366926437,44.324586183,39.2092257397,47.9909105295,77.7917422291
2012-09-15,53.7812970553,39.109928985,11.2026359256,58.6555573138,80.3011532688
2012-09-16,58.6705058785,44.324586183,22.4052718512,74.6525274903,67.7540980705
2012-09-17,68.4489235249,41.717257584,44.8105437025,53.3232339216,80.3011532688
2012-09-18,68.4489235249,41.717257584,39.2092257397,74.6525274903,65.2446870309
2012-09-19,61.1151102901,31.287943188,33.6079077768,85.3171742746,65.2446870309
2012-09-20,73.3381323481,44.324586183,44.8105437025,53.3232339216,70.2635091102
2012-09-21,58.6705058785,33.895271787,39.2092257397,74.6525274903,55.2070428723
2012-09-22,39.1136705856,39.109928985,22.4052718512,63.9878807059,65.2446870309
2012-09-23,48.892088232,39.109928985,28.006589814,58.6555573138,67.7540980705
2012-09-24,68.4489235249,33.895271787,33.6079077768,85.3171742746,67.7540980705
2012-09-25,53.7812970553,46.9319147821,44.8105437025,346.601020491,67.7540980705
2012-09-26,80.6719455829,33.895271787,39.2092257397,442.582841549,67.7540980705
2012-09-27,70.8935279365,39.109928985,39.2092257397,346.601020491,75.2823311895
2012-09-28,58.6705058785,36.502600386,33.6079077768,229.289905863,70.2635091102
2012-09-29,51.3366926437,33.895271787,28.006589814,202.628288902,60.2258649516
2012-09-30,58.6705058785,36.502600386,22.4052718512,159.969701765,67.7540980705
2012-10-01,63.5597147017,33.895271787,56.0131796281,255.951522824,67.7540980705
2012-10-02,58.6705058785,33.895271787,50.4118616653,218.625259079,80.3011532688
2012-10-03,80.6719455829,33.895271787,67.2158155537,170.634348549,72.7729201498
